NAMESPACE                     LAST SEEN   TYPE      REASON                                   OBJECT                                                             MESSAGE
kube-system                   39m         Warning   FailedScheduling                         pod/metrics-server-v1.35.1-78f45667d-ptnww                         0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   39m         Warning   NetworkNotReady                          pod/node-local-dns-6t5fg                                           network is not ready: container runtime network not ready: NetworkReady=false reason:NetworkPluginNotReady message:Network plugin returns error: cni plugin not initialized
kube-system                   39m         Warning   FailedMount                              pod/node-local-dns-6t5fg                                           MountVolume.SetUp failed for volume "kube-dns-config" : object "kube-system"/"kube-dns" not registered
kube-system                   39m         Warning   FailedMount                              pod/node-local-dns-6t5fg                                           MountVolume.SetUp failed for volume "nodelocaldns-metrics-collector-config-map-vol" : object "kube-system"/"nodelocaldns-metrics-collector-config-map" not registered
kube-system                   39m         Warning   FailedScheduling                         pod/kube-dns-78d5d95979-p2v8j                                      0/1 nodes are available: 1 node(s) had untolerated taint(s). no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
kube-system                   39m         Normal    Pulled                                   pod/netd-drwst                                                     Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/netd-init:v0.10.12-gke.16@sha256:7c17ea472a942f1c612d26e240c15c79d9d0e9d4339010983785563559a11cdc" already present on machine and can be accessed by the pod
kube-system                   39m         Normal    Pulled                                   pod/anetd-2r7gz                                                    Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/anet/cni-writer:v0.1.40-gke.0@sha256:67f53cef809fb894cad4b99137539fe57f46a6a1e0346b1cd1f598fd92801093" already present on machine and can be accessed by the pod
kube-system                   39m         Normal    SuccessfulCreate                         daemonset/pdcsi-node                                               Created pod: pdcsi-node-nc9f9
kube-system                   39m         Warning   FailedMount                              pod/pdcsi-node-nc9f9                                               MountVolume.SetUp failed for volume "pdcsi-metrics-collector-config-map-vol" : configmap "pdcsi-metrics-collector-config-map" not found
kube-system                   39m         Normal    Scheduled                                pod/pdcsi-node-nc9f9                                               Successfully assigned kube-system/pdcsi-node-nc9f9 to gke-portable-voting-default-pool-2393733d-3flq
kube-system                   39m         Normal    Pulled                                   pod/anetd-2r7gz                                                    Container image "europe-west3-artifactregistry.gcr.io/gke-release/gke-release/cilium/cilium:v1.18.7-gke1.35-gke.14@sha256:2170ed688661e1b038eaed32840e7d207a13589471bd7251ccc0c184cbb1eb3f" already present on machine and can be accessed by the pod
